SK_ID_CURR,TARGET
100001,0.032823589416121034
100005,0.20558573128110547
100013,0.024816814996292312
100028,0.040381067397864776
100038,0.2747603109802485
100042,0.03125620474825466
100057,0.011629867737544224
100065,0.05180013461770219
100066,0.009387172616831417
100067,0.09412837867395338
100074,0.10632553152023048
100090,0.05461618982096829
100091,0.3586039487763167
100092,0.12093267313210047
100106,0.04768508162201138
100107,0.17350363167550192
100109,0.0323389729211208
100117,0.02291593420444705
100128,0.17426320968638265
100141,0.07520636951182706
100150,0.060412364563117285
100168,0.0077968673975633415
100169,0.04930545026708537
100170,0.26099562643385155
100171,0.20620689437378886
100172,0.10075452460600615
100184,0.12485668827655953
100187,0.07424295490991953
100212,0.06094703176252272
100222,0.04952681573331041
100223,0.030299073760524424
100232,0.014998975486706796
100241,0.2059046731593318
100245,0.023708617979365656
100253,0.07468431466477835
100256,0.12438802576936146
100271,0.006684871408773002
100278,0.5147909406840054
100280,0.008103352915364152
100306,0.2928579329503162
100311,0.102503365759667
100312,0.08234921248276711
100330,0.11222367868875527
100331,0.024919593593174444
100352,0.26682537488227476
100358,0.07714686276555487
100367,0.016528290268956698
100382,0.05699041526415728
100384,0.21502994927181632
100385,0.11490970292632569
100386,0.05879920231679961
100399,0.04474937112789085
100404,0.07163339437640485
100416,0.020248018019601143
100422,0.050757838142752934
100426,0.03809391881663486
100438,0.03605864729122979
100444,0.2225278690251678
100445,0.26216581426135843
100446,0.20489902600216298
100447,0.01858962372666998
100450,0.11759579589538448
100466,0.014111632979745714
100483,0.02344352585411738
100484,0.02433324030248026
100494,0.1477424799393497
100510,0.13236635460932702
100512,0.010837072441520886
100517,0.03193426977380233
100548,0.01710961747018161
100551,0.045869514187517044
100552,0.08793922041479998
100553,0.008264367907116366
100561,0.28294065627935694
100568,0.6312444295155721
100569,0.01425553860090539
100591,0.22894030323793102
100592,0.033508829551924905
100602,0.046365439711926686
100607,0.10100458536444949
100613,0.10998957105484986
100617,0.32091925028494656
100618,0.23549067689774777
100622,0.040346691514073926
100625,0.0797775717031546
100677,0.04708161390583291
100699,0.021932349478166777
100702,0.5452538868240565
100711,0.06686942844130145
100729,0.15968344661668568
100740,0.36008998727234587
